nodo,pagerank,in_degree,out_degree,hits_hub,hits_authority,betweenness,closeness
17567,0.0006865806134915246,14,11,2.9720997578166777e-09,2.0832733375122487e-08,0.0,0.11263133442189963
17737,0.0006133316063805819,5,8,1.3994430448423107e-07,2.7032153602750206e-07,0.0025821192104127067,0.17186077012865408
17750,0.0007819945362945112,3,10,1.3264619689380011e-06,6.93917508455867e-08,3.797470075543754e-05,0.12967487371255157
17781,0.001650362405541406,56,17,-8.059366897921471e-19,-5.140226975333004e-18,4.500475324122441e-06,0.02801400700350175
17928,0.0005905300964430312,10,10,1.4274567381402563e-09,2.4829754804962724e-10,2.7819493107692762e-08,0.11338725742693305
17954,0.0003258522514621718,13,20,1.2654211282643e-06,3.174303408782773e-07,0.0,0.12459549276713046
18208,0.0003151713822440317,25,29,2.0344029470667128e-08,9.674607993777831e-09,0.0002561645088362208,0.12086424793462583
18244,0.0004200171832884713,13,14,1.0819237568353504e-06,2.5119383232705355e-07,1.5523277154092564e-05,0.0065032516258129065
18412,0.0010291861516331384,7,6,7.13085542267808e-09,6.30585462760362e-08,0.0005531890055396396,0.14353496059693327
18522,0.0008457226151879323,16,9,1.997695786422736e-20,3.682128299618126e-19,0.0,0.008031793674615085
18546,0.0026614785883099217,32,7,1.9008344749980668e-08,9.563611979509022e-09,3.713902329876984e-06,0.14497640863691794
18549,0.0001108843627830062,1,7,1.0820707845085002e-06,2.0964386088877115e-08,0.0,0.08513130459536868
18591,0.00045103575370719065,28,27,1.302797168531647e-06,6.909575934644123e-07,2.394490807175409e-05,0.022356005589001398
18694,0.0001320973217100711,4,11,1.0982052247294578e-06,8.449623484786107e-08,1.466782774103101e-05,0.0030265132566283143
19047,8.64439217488278e-05,0,0,-0.0,4.198313693242739e-19,0.0,0.0
19140,0.0003119818898483491,44,59,0.00912782130033086,0.007771973966816633,1.4280306600379678e-07,0.0839132398750236
19189,0.0016006512747396898,17,4,6.242897411947114e-09,2.072659556744133e-08,0.0006491609167947339,0.11457384675243605
19258,0.000575184448367622,2,2,-1.0768473363684646e-20,1.8142742745436283e-20,0.0,0.0010005002501250625
19348,0.00012318366306076468,1,1,1.0352418435840192e-06,1.996377077492084e-08,0.0,0.0005002501250625312
19470,0.0005393930906471043,17,16,1.7753433233856998e-08,5.8203089286468456e-09,0.00032808124353897634,0.11536619700660228
19631,0.00023631675155485617,1,1,7.760113379586292e-22,7.775281480210477e-19,0.0,0.008841021818098592
19786,0.0001148535537689555,5,17,-7.67095096032619e-19,-3.067044044143435e-19,0.0,0.0025012506253126563
19983,0.0004744062794793272,3,4,2.1029159311973593e-20,-1.2835240249366297e-19,0.0,0.0016008004002001
20061,0.000332673489390534,4,16,1.34904351044348e-06,5.541639564924669e-08,0.00013608252546537178,0.11999485996195029
20330,0.00023888969573063247,42,55,0.006806502955884767,0.005569878511298115,2.635530925991946e-08,0.06665078965834689
20346,0.00025996090491168806,20,44,3.262192897347726e-06,1.2543423382277496e-06,1.7267271584085163e-08,0.09407115838621066
20468,0.00012067113026262032,1,15,1.4502130569073416e-08,8.138593786934723e-11,1.0998635310791391e-06,0.09780949106475062
20533,0.000537584179195977,17,15,1.774856879830018e-08,5.820402710942614e-09,2.1621707464628613e-05,0.11536619700660228
20638,8.64439217488278e-05,0,0,-0.0,-1.023553160582476e-18,0.0,0.0
